"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"blue","29.0689655172414","29","White",9.06150705193734,30.0258730275073
"blue","29.0689655172414","29","Black",6.58982851679886,19.480930539629
"blue","29.0689655172414","29","Asian",3.11779688049379,33.5744342070074
"blue","29.0689655172414","29","Hispanic",9.34943600863069,33.1723136434206
"blue","29.0689655172414","29","American_Indian",0.103752689305009,16.5941888094437
"blue","29.0689655172414","29","Others",0.77767885283431,33.4353525287747
"orange","30.3703703703704","27","White",7.33793704337218,26.4604943958728
"orange","30.3703703703704","27","Black",3.70018633421914,30.9190582973502
"orange","30.3703703703704","27","Asian",0.851963335967864,28.0852978707721
"orange","30.3703703703704","27","Hispanic",13.5242385581926,31.623081150045
"orange","30.3703703703704","27","American_Indian",0.054350842161223,43.8016079394995
"orange","30.3703703703704","27","Others",0.531323886086952,27.1809523767291
"brown","26","3","White",1.00346978976972,19.1000857544213
"brown","26","3","Black",0.638812866757893,34.0537400866366
"brown","26","3","Asian",0.188768969563342,17.5247739722103
"brown","26","3","Hispanic",1.14981455127277,28.9114070411768
"brown","26","3","American_Indian",0.0176125244618395,27
"brown","26","3","Others",0.00152129817444219,35
"yellow","NaN","0","White",0,NA
"yellow","NaN","0","Black",0,NA
"yellow","NaN","0","Asian",0,NA
"yellow","NaN","0","Hispanic",0,NA
"yellow","NaN","0","American_Indian",0,NA
"yellow","NaN","0","Others",0,NA
"green","20.0666666666667","30","White",17.5756612674616,18.2513738989927
"green","20.0666666666667","30","Black",3.39194124058081,17.0842154340601
"green","20.0666666666667","30","Asian",4.25575257528557,23.076610551778
"green","20.0666666666667","30","Hispanic",3.98167840804037,27.3431794490635
"green","20.0666666666667","30","American_Indian",0.0145278450363196,28.5
"green","20.0666666666667","30","Others",0.780438663595343,20.215866973376
"purple","15.7272727272727","11","White",4.32791782080667,15.8741141080505
"purple","15.7272727272727","11","Black",3.0367633214096,13.3913865623863
"purple","15.7272727272727","11","Asian",2.64070844318664,17.6083919119903
"purple","15.7272727272727","11","Hispanic",0.667627526295635,18.8227082190943
"purple","15.7272727272727","11","American_Indian",0,NA
"purple","15.7272727272727","11","Others",0.326982888301463,13.9655008586779
"all","16.55","100","White",39.3064929733475,18.313125691676
"all","16.55","100","Black",17.3575322797663,12.9321974047801
"all","16.55","100","Asian",11.0549902044972,15.4918679038679
"all","16.55","100","Hispanic",28.6727950524321,16.6917098268501
"all","16.55","100","American_Indian",0.190243900964391,15.6249357193076
"all","16.55","100","Others",2.41794558899251,14.8354240688903
"all color","16.55","100","blue",29,4.72413793103448
"all color","16.55","100","orange",27,17.9259259259259
"all color","16.55","100","brown",3,47.6666666666667
"all color","16.55","100","yellow",0,NA
"all color","16.55","100","green",30,29.5666666666667
"all color","16.55","100","purple",11,0.363636363636364
"default","23.75","100","White",39.3064929733475,20.9890871277143
"default","23.75","100","Black",17.3575322797663,25.7256084866983
"default","23.75","100","Asian",11.0549902044972,22.2844006910164
"default","23.75","100","Hispanic",28.6727950524321,26.4430061412682
"default","23.75","100","American_Indian",0.190243900964391,27.2247814760682
"default","23.75","100","Others",2.41794558899251,23.8762357572745
"default color","23.75","100","blue",29,24.7931034482759
"default color","23.75","100","orange",27,27.1111111111111
"default color","23.75","100","brown",3,23.6666666666667
"default color","23.75","100","yellow",0,NA
"default color","23.75","100","green",30,21.3666666666667
"default color","23.75","100","purple",11,19.2727272727273
